编号（关联功能）,序列号,部件名（系统）,型号,品牌
FXS-YZ21,L20275402229 CD,高压切换阀,FCV-20AH2,Shimadzu
FXS-YZ22,SG1640G006,质谱主机,G6470A,Agilent
FXS-YZ22,IT1639V382,机械泵,G1960-80040,Agilent
FXS-YZ22,DEBAY00864,输液泵,G7120A,Agilent
FXS-YZ22,DEBAQ01675,自动进样器,G7167B,Agilent
FXS-YZ22,DEBAZ01295,柱温箱,G7166B,Agilent
FXS-YZ23,DJ20161801,质谱主机,Triple Quad 4500 MD,AB SCIEX
FXS-YZ23,31001652981,机械泵,SV28B1 960277V1705ES,SOGEVAC
FXS-YZ23,ATDG55510048,脱气机,SCIEX DX Dgasser,AB SCIEX
FXS-YZ23,ATDXR5570073,输液泵 A,SCIEX DX Pump,AB SCIEX
FXS-YZ23,ATDXR5570074,输液泵 B,SCIEX DX Pump,AB SCIEX
FXS-YZ23,ATCXR5570035,自动进样器,SCIEX DX Sample,AB SCIEX
FXS-YZ23,AJ3CT5570024,柱温箱,SCIEX DX Oven,AB SCIEX
FXS-YZ23,ATCBM5570034,控制器,SCIEX DX Controller,AB SCIEX
FXS-YZ25,07530L,质谱主机,Q EXACTIVE Focus,Thermo
FXS-YZ25,CU 72170462,机械泵,SOGEVAC SV40/65 BIFC,SOGEVAC
FXS-YZ25,7252094,脱气机,SRD-3400,Thermo
FXS-YZ25,7250851,脱气机,SRD-3400,Thermo
FXS-YZ25,8129575,SPE系统（Loding） S1,LPG-3400RS for Transcend Ⅱ,Thermo
FXS-YZ25,8143631,SPE系统（Loding） S2,LPG-3400RS for Transcend Ⅱ,Thermo
FXS-YZ25,8136644,SPE系统（Loding） S3,LPG-3400RS for Transcend Ⅱ,Thermo
FXS-YZ25,8132284,SPE系统（Loding） S4,LPG-3400RS for Transcend Ⅱ,Thermo
FXS-YZ25,8131190,输液泵（Eluting） S1,HPG-3200RS for Transcend Ⅱ,Thermo
FXS-YZ25,8131362,输液泵（Eluting） S2,HPG-3200RS for Transcend Ⅱ,Thermo
FXS-YZ25,8132267,输液泵（Eluting） S3,HPG-3200RS for Transcend Ⅱ,Thermo
FXS-YZ25,8134182,输液泵（Eluting） S4,HPG-3200RS for Transcend Ⅱ,Thermo
FXS-YZ25,415141,自动进样器,TriPlus DHR,Thermo
FXS-YZ25,J-1A-0815196,柱温箱,Transcend Ⅱ Valve Interface Module,Thermo
FXS-YZ26,TSQ-A-10317,质谱主机,TSQ Altis,Thermo
FXS-YZ26,31002081819,机械泵,SV65BIFC 960465V013002,SOGEVAC
FXS-YZ26,31001742326,机械泵,SV65BIFC 960465V013002,SOGEVAC
FXS-YZ26,8307903,输液泵,Binary Pump F,Thermo
FXS-YZ26,8307938,自动进样器,Split Sampler FT,Thermo
FXS-YZ26,6501627,柱温箱,Column Compartment H,Thermo
FXS-YZ27,EG251681909,质谱主机,QTRAP 5500,AB SCIEX
FXS-YZ27,IT19345120,机械泵,8499240,Agilent
FXS-YZ27,ABDG55772323,脱气机,Exion LC Degasser,AB SCIEX
FXS-YZ27,ABDXR5771547,输液泵 S1-A,Exion LC AC Pump,AB SCIEX
FXS-YZ27,ABDXR5771554,输液泵 S1-B,Exion LC AC Pump,AB SCIEX
FXS-YZ27,ABDXR5771548,输液泵 S2-A,Exion LC AC Pump,AB SCIEX
FXS-YZ27,ABDXR5771553,输液泵 S2-B,Exion LC AC Pump,AB SCIEX
